,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
1891,1.0,data1,Mental health,E07000115,Tonbridge and Malling,101.8709,103.3149,102.3602,103.5316,104.4755,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.6045999999999907,0.9438999999999993
1905,1.0,data1,Mental health,E07000116,Tunbridge Wells,100.6197,97.58178,101.7815,97.11626,101.0088,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.3890999999999991,3.892539999999997
1919,1.0,data1,Mental health,E07000117,Burnley,95.64652,103.3401,100.1394,96.98648,94.69261,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.9539099999999934,-2.2938699999999983
1933,1.0,data1,Mental health,E07000118,Chorley,107.0207,104.4471,100.5181,95.88175,95.45767,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-11.563030000000012,-0.42408000000000357
1947,1.0,data1,Mental health,E07000119,Fylde,100.905,101.7516,105.2119,109.36,106.1465,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,5.241500000000002,-3.2134999999999962
1961,1.0,data1,Mental health,E07000120,Hyndburn,93.882,95.4701,96.65163,100.0793,100.6557,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,6.773699999999991,0.5763999999999925
1975,1.0,data1,Mental health,E07000121,Lancaster,95.11673,97.31192,97.70164,96.45258,94.03521,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-1.0815199999999976,-2.417369999999991
1989,1.0,data1,Mental health,E07000122,Pendle,99.82929,106.5118,104.7868,100.2456,100.9339,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.1046099999999939,0.6882999999999981
2003,1.0,data1,Mental health,E07000123,Preston,96.45164,98.62126,101.7133,97.70757,95.97583,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.4758099999999956,-1.731740000000002
2017,1.0,data1,Mental health,E07000124,Ribble Valley,108.5711,110.3112,108.7603,110.9845,115.1245,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,6.553399999999996,4.140000000000001
2031,1.0,data1,Mental health,E07000125,Rossendale,103.262,105.644,104.8017,101.8198,96.48157,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-6.7804299999999955,-5.338229999999996
2045,1.0,data1,Mental health,E07000126,South Ribble,101.8729,102.8793,104.5313,102.079,103.1904,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.3174999999999955,1.1114000000000033
2059,1.0,data1,Mental health,E07000127,West Lancashire,104.3413,106.0826,102.2381,95.3671,90.64901,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-13.69229,-4.7180899999999895
2073,1.0,data1,Mental health,E07000128,Wyre,98.31157,96.31609,100.6609,97.44746,95.46898,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-2.8425900000000013,-1.9784800000000047
2087,1.0,data1,Mental health,E07000129,Blaby,108.2896,107.6507,108.4288,104.0384,103.5829,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-4.706699999999998,-0.4555000000000007
2101,1.0,data1,Mental health,E07000130,Charnwood,108.4681,108.0574,111.2796,109.7677,109.7228,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.2546999999999997,-0.044899999999998386
2115,1.0,data1,Mental health,E07000131,Harborough,111.5871,108.3199,107.0263,105.7564,105.119,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-6.468100000000007,-0.6373999999999995
2129,1.0,data1,Mental health,E07000132,Hinckley and Bosworth,109.3129,108.5149,116.5502,110.9409,109.358,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,0.045100000000005025,-1.582899999999995
2143,1.0,data1,Mental health,E07000133,Melton,111.6638,110.5866,110.5062,110.4046,116.6836,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,5.019800000000004,6.278999999999996
2157,1.0,data1,Mental health,E07000134,North West Leicestershire,106.5351,103.6343,106.5563,110.5609,108.6439,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,2.1088000000000022,-1.9170000000000016
2171,1.0,data1,Mental health,E07000135,Oadby and Wigston,107.9999,106.7003,110.0538,109.0614,110.4637,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,2.463800000000006,1.4022999999999968
2185,1.0,data1,Mental health,E07000136,Boston,97.85326,104.3116,107.7013,109.5338,110.667,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,12.813739999999996,1.1332000000000022
2199,1.0,data1,Mental health,E07000137,East Lindsey,96.0975,96.49551,96.49108,94.60393,93.88166,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-2.21584,-0.7222700000000088
2213,1.0,data1,Mental health,E07000138,Lincoln,88.79598,89.96897,93.02933,88.05051,85.97112,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-2.824860000000001,-2.0793900000000036
2227,1.0,data1,Mental health,E07000139,North Kesteven,108.0565,110.9183,111.8731,111.5091,108.6572,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,0.6007000000000033,-2.8519000000000005
2241,1.0,data1,Mental health,E07000140,South Holland,107.9823,110.977,107.3348,106.7205,102.1121,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-5.870199999999997,-4.608400000000003
2255,1.0,data1,Mental health,E07000141,South Kesteven,107.7581,108.2361,108.1187,103.4783,102.1741,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-5.584000000000003,-1.3042000000000087
2269,1.0,data1,Mental health,E07000142,West Lindsey,103.5494,104.6934,106.5551,102.5545,102.1359,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-1.413499999999999,-0.41859999999999786
2283,1.0,data1,Mental health,E07000143,Breckland,102.5522,101.3706,101.7632,99.55869,96.51097,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-6.041229999999999,-3.047719999999998
2297,1.0,data1,Mental health,E07000144,Broadland,100.7089,103.384,100.0859,99.01567,101.2522,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.5433000000000021,2.236530000000002
2311,1.0,data1,Mental health,E07000145,Great Yarmouth,94.41262,94.73434,96.75266,99.16059,99.73197,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,5.31935,0.5713800000000049
2325,1.0,data1,Mental health,E07000146,King's Lynn and West Norfolk,96.63754,91.81163,97.89614,96.23397,91.22657,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-5.410970000000006,-5.007400000000004
2339,1.0,data1,Mental health,E07000147,North Norfolk,100.2898,99.09152,99.72216,95.30468,95.64849,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-4.641310000000004,0.3438099999999906
2353,1.0,data1,Mental health,E07000148,Norwich,79.6868,86.78872,90.83354,88.63475,86.41033,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,6.723529999999997,-2.224419999999995
2367,1.0,data1,Mental health,E07000149,South Norfolk,103.3421,104.1247,107.6304,107.6781,108.5925,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,5.250399999999999,0.9144000000000005
2381,1.0,data1,Mental health,E07000163,Craven,113.3837,104.6665,102.7699,99.29352,107.8157,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-5.567999999999998,8.522180000000006
2395,1.0,data1,Mental health,E07000164,Hambleton,104.4061,103.3269,101.7485,96.57631,96.51812,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-7.887979999999999,-0.0581900000000104
