,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
1335,5.0,data5,Behavioural risk factors,E07000071,Colchester,107.2451,108.8365,103.4668,106.5562,104.9545,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-2.2905999999999977,-1.6017000000000081
1349,5.0,data5,Behavioural risk factors,E07000072,Epping Forest,104.8684,110.1688,108.8691,104.5169,104.6822,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.18619999999999948,0.1652999999999878
1363,5.0,data5,Behavioural risk factors,E07000073,Harlow,89.95805,94.06429,93.73808,89.34463,94.35406,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,4.396010000000004,5.009430000000009
1377,5.0,data5,Behavioural risk factors,E07000074,Maldon,109.0982,113.4583,111.8394,107.9084,108.0905,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-1.0076999999999998,0.18210000000000548
1391,5.0,data5,Behavioural risk factors,E07000075,Rochford,107.1713,104.2313,107.2272,109.4476,107.7935,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.6221999999999923,-1.6540999999999997
1405,5.0,data5,Behavioural risk factors,E07000076,Tendring,88.75729,91.26223,96.06448,97.32341,96.33692,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,7.579630000000009,-0.9864899999999892
1419,5.0,data5,Behavioural risk factors,E07000077,Uttlesford,111.1371,112.6962,110.1498,113.1966,110.341,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.7961000000000098,-2.8556000000000097
1433,5.0,data5,Behavioural risk factors,E07000078,Cheltenham,111.9894,111.1092,110.6862,108.3797,110.5082,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.4812000000000012,2.1285000000000025
1447,5.0,data5,Behavioural risk factors,E07000079,Cotswold,113.7578,114.0104,112.5166,119.9707,117.1324,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,3.374600000000001,-2.8382999999999896
1461,5.0,data5,Behavioural risk factors,E07000080,Forest of Dean,104.1885,106.5812,109.802,112.2883,110.0114,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,5.82289999999999,-2.276900000000012
1475,5.0,data5,Behavioural risk factors,E07000081,Gloucester,94.33742,99.05061,96.48446,97.52836,94.08984,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.24757999999999925,-3.438520000000011
1489,5.0,data5,Behavioural risk factors,E07000082,Stroud,113.8037,115.3823,116.6519,116.7598,113.4886,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.31510000000000105,-3.2711999999999932
1503,5.0,data5,Behavioural risk factors,E07000083,Tewkesbury,113.3476,112.7778,107.7267,107.2632,109.6164,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-3.731200000000001,2.353200000000001
1517,5.0,data5,Behavioural risk factors,E07000084,Basingstoke and Deane,102.3236,104.7095,105.3437,105.7795,105.4501,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,3.126500000000007,-0.3293999999999926
1531,5.0,data5,Behavioural risk factors,E07000085,East Hampshire,109.9246,112.2638,111.8024,112.346,115.9247,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,6.000100000000003,3.5786999999999978
1545,5.0,data5,Behavioural risk factors,E07000086,Eastleigh,97.49722,107.5818,109.7835,104.6794,105.9602,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,8.462980000000002,1.2807999999999993
1559,5.0,data5,Behavioural risk factors,E07000087,Fareham,113.7213,114.0286,114.0363,110.1466,103.8649,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-9.856399999999994,-6.281700000000001
1573,5.0,data5,Behavioural risk factors,E07000088,Gosport,105.4789,104.7634,101.2889,99.3377,98.21751,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-7.261389999999992,-1.1201899999999938
1587,5.0,data5,Behavioural risk factors,E07000089,Hart,105.5272,107.9095,110.6218,108.6624,118.6887,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,13.161500000000004,10.026299999999992
1601,5.0,data5,Behavioural risk factors,E07000090,Havant,99.60698,99.47654,102.391,102.1218,97.71632,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-1.890659999999997,-4.405479999999997
1615,5.0,data5,Behavioural risk factors,E07000091,New Forest,110.052,108.895,105.5554,108.3967,109.6731,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.37890000000000157,1.2764000000000095
1629,5.0,data5,Behavioural risk factors,E07000092,Rushmoor,93.03552,98.05832,96.08834,99.30794,95.78558,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.7500599999999906,-3.522360000000006
